,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
113,Tari,100,NG,1571466111,71,12.41,4.49,79.55,8.97
114,Yerbogachen,99,RU,1571466111,69,61.28,108.01,32.78,12.39
115,Antrim,75,GB,1571466112,100,54.72,-6.22,48.99,5.82
116,Teya,75,MX,1571466112,94,21.05,-89.07,78.01,3.36
117,Longyearbyen,75,NO,1571466112,52,78.22,15.63,17.6,18.34
118,Fortuna,90,US,1571466113,87,40.6,-124.16,55.99,8.05
119,Kaabong,24,UG,1571466113,64,3.51,34.14,71.84,11.48
120,Vao,83,EE,1571466113,92,59.1,26.19,50.08,8.61
121,Cherskiy,100,RU,1571466113,95,68.75,161.3,10.16,6.82
122,Anadyr,90,RU,1571466114,92,64.73,177.51,21.2,2.24
123,Dargaville,71,NZ,1571466114,82,-35.94,173.86,59.15,13.62
124,Ohara,75,JP,1571466114,88,35.12,135.83,77.0,6.93
125,Yellowknife,90,CA,1571466114,86,62.45,-114.38,28.4,9.17
126,Carinhanha,87,BR,1571466115,43,-14.3,-43.77,66.16,1.41
127,Omboue,75,GA,1571466115,84,-1.57,9.26,78.56,11.36
128,Massakory,99,TD,1571466115,62,13.0,15.73,83.27,2.28
129,Hryshkivtsi,11,UA,1571466115,63,49.93,28.61,54.71,7.34
130,Hobart,75,AU,1571466116,65,-42.88,147.33,55.4,19.46
131,Lahaina,20,US,1571466116,65,20.87,-156.68,80.6,13.87
132,Luderitz,0,NA,1571466116,79,-26.65,15.16,58.18,8.48
133,Ondjiva,0,AO,1571466116,20,-17.07,15.73,76.63,2.95
134,Katherine,30,AU,1571466117,13,-14.47,132.26,105.8,14.99
135,Burns Lake,84,CA,1571466117,95,54.23,-125.76,25.48,3.04
136,Tasiilaq,49,GL,1571466117,74,65.61,-37.64,28.4,2.24
137,Cayenne,15,GF,1571466118,100,4.94,-52.33,75.2,2.24
138,Barcelona,20,ES,1571466118,77,41.38,2.18,66.99,9.17
139,Chapais,90,CA,1571466118,95,49.78,-74.86,37.4,6.93
140,Wilmington,1,US,1571466118,81,39.75,-75.55,46.0,4.7
141,Guadalupe y Calvo,84,MX,1571466119,86,26.09,-106.96,50.95,4.61
142,Nurota,13,UZ,1571466119,34,40.56,65.69,68.0,9.17
143,Thompson,90,CA,1571466120,93,55.74,-97.86,42.8,1.14
144,Kaitangata,70,NZ,1571466120,59,-46.28,169.85,57.99,15.01
145,Olinda,75,AU,1571466120,58,-37.84,145.39,57.0,19.46
146,Loiza,20,PR,1571466120,78,18.43,-65.88,81.0,3.58
147,Westerly,20,US,1571466121,81,41.38,-71.83,48.99,5.73
148,Road Town,1,VG,1571466121,88,18.42,-64.62,81.0,6.93
149,Manokwari,5,ID,1571466121,64,-0.87,134.08,80.83,7.63
150,Tilichiki,43,RU,1571466121,78,60.47,166.1,21.64,6.6
151,Tuktoyaktuk,5,CA,1571466122,85,69.44,-133.03,23.0,9.17
152,Amga,61,RU,1571466122,89,60.89,131.98,36.17,4.54
153,Jeremie,6,HT,1571466122,80,18.65,-74.12,78.52,5.1
154,Tessalit,0,ML,1571466122,24,20.2,1.01,77.42,8.34
155,Launceston,72,AU,1571466123,43,-41.43,147.14,55.4,19.46
156,Chalus,75,IR,1571466123,64,36.66,51.42,71.6,2.24
157,Garowe,95,SO,1571466123,68,8.41,48.48,78.31,2.37
158,Ilulissat,100,GL,1571466124,86,69.22,-51.1,33.8,17.22
159,Champerico,100,MX,1571466124,99,16.38,-93.6,68.5,3.06
160,Bambous Virieux,75,MU,1571466125,50,-20.34,57.76,78.01,13.87
161,Kavieng,3,PG,1571466125,74,-2.57,150.8,83.63,10.22
162,Airai,0,TL,1571466125,41,-8.93,125.41,88.91,6.31
163,Wajir,75,KE,1571466125,74,1.75,40.07,78.8,8.05
164,Mount Isa,0,AU,1571466126,8,-20.73,139.49,100.4,12.75
165,Panji,0,CN,1571466126,31,32.78,116.82,76.96,6.78
166,Santa Cruz,19,BR,1571466126,90,-6.22,-36.02,67.76,9.26
167,Vista Hermosa,75,MX,1571466126,100,14.92,-92.27,77.0,2.24
168,Nikolskoye,90,RU,1571466127,93,59.7,30.79,51.8,6.71
169,Kargil,99,PK,1571466127,31,34.56,76.13,36.4,3.31
170,Coihaique,0,CL,1571466127,86,-45.58,-72.07,41.0,3.36
171,Tromso,20,NO,1571466127,92,69.65,18.96,26.6,13.87
172,Guerrero Negro,0,MX,1571466128,86,27.97,-114.04,65.89,12.95
173,Todos Santos,20,MX,1571466128,78,23.45,-110.23,75.99,6.93
174,Kangalassy,0,RU,1571466128,86,62.35,129.97,33.8,4.47
175,Sinnamary,23,GF,1571466129,80,5.38,-52.96,81.56,15.88
176,Marzuq,60,YE,1571466129,35,14.4,46.47,76.45,5.59
177,Lakes Entrance,76,AU,1571466129,37,-37.88,147.99,64.0,16.96
178,Rio Grande,16,BR,1571466130,90,-32.03,-52.1,51.63,2.19
179,Brae,53,GB,1571466130,87,60.4,-1.35,48.2,13.87
180,Kununurra,35,AU,1571466130,19,-15.77,128.74,104.0,5.82
181,Bredasdorp,17,ZA,1571466130,77,-34.53,20.04,66.0,1.12
182,Visnes,75,NO,1571466131,81,59.36,5.22,51.01,4.7
183,Guiratinga,100,BR,1571466131,92,-16.35,-53.76,71.27,2.91
184,Tainan,40,TW,1571466131,51,22.99,120.21,86.0,8.05
185,Agustin Codazzi,100,CO,1571466131,97,10.03,-73.24,74.33,3.31
186,Staryy Oskol,0,RU,1571466132,85,51.3,37.84,52.42,2.91
187,Kodiak,90,US,1571466132,76,39.95,-94.76,57.0,4.7
188,Grand Gaube,75,MU,1571466132,50,-20.01,57.66,78.01,13.87
189,Loandjili,90,CG,1571466132,100,-4.77,11.87,77.0,2.24
190,Lompoc,1,US,1571466133,87,34.64,-120.46,55.99,4.7
191,Umm Lajj,0,SA,1571466133,74,25.02,37.27,85.54,9.31
192,Clyde River,90,CA,1571466134,86,70.47,-68.59,28.4,20.8
193,Puerto Escondido,100,MX,1571466134,89,15.86,-97.07,73.99,3.13
194,Tuatapere,25,NZ,1571466134,66,-46.13,167.69,57.99,8.99
195,Avera,1,US,1571466134,55,33.19,-82.53,62.6,5.82
196,Nebolchi,98,RU,1571466135,96,59.12,33.35,49.33,6.78
197,Mitsamiouli,20,KM,1571466135,52,-11.38,43.28,87.8,12.75
198,Belaya,35,RU,1571466135,78,51.06,35.71,52.13,4.16
199,Flinders,40,AU,1571466136,78,-34.58,150.85,75.0,23.04
200,Sao Domingos,99,BR,1571466136,31,-13.4,-46.32,72.01,1.45
201,Farafangana,37,MG,1571466136,71,-22.82,47.83,71.3,5.61
202,Port-Gentil,75,GA,1571466136,100,-0.72,8.78,77.0,5.82
203,Pozo Colorado,66,PY,1571466137,90,-23.49,-58.8,68.06,7.23
204,Capinzal,77,BR,1571466137,97,-27.34,-51.61,62.79,2.75
205,Cabo San Lucas,20,MX,1571466137,78,22.89,-109.91,75.99,6.93
206,Port Hardy,90,CA,1571466137,93,50.7,-127.42,46.4,3.36
207,Ziro,20,IN,1571466138,62,27.54,93.82,87.8,4.7
208,Talnakh,40,RU,1571466138,84,69.49,88.39,8.6,8.95
209,Chuy,0,UY,1571466138,83,-33.69,-53.46,53.68,10.33
210,East London,40,ZA,1571466139,78,-33.02,27.91,71.6,4.7
211,Talakan,100,RU,1571466139,60,50.29,130.28,49.18,3.53
212,Borovoy,22,RU,1571466139,64,63.23,52.89,27.4,8.97
213,North Bend,90,US,1571466139,93,43.41,-124.22,55.0,8.05
214,Rongcheng,0,CN,1571466140,63,37.16,122.42,62.99,6.67
215,Lucapa,8,AO,1571466140,82,-8.42,20.74,71.09,2.01
216,Leningradskiy,99,RU,1571466140,89,69.38,178.42,30.05,16.96
217,Diego de Almagro,40,CL,1571466140,98,-26.39,-70.05,42.18,2.66
218,Keffi,75,NG,1571466141,83,8.85,7.88,75.2,5.82
219,Birao,36,CF,1571466141,79,10.3,22.78,76.07,3.49
220,Belmonte,64,PT,1571466141,88,40.36,-7.35,57.0,4.79
221,Praya,40,ID,1571466141,62,-8.71,116.27,87.8,14.99
222,Muyezerskiy,100,RU,1571466142,97,63.93,31.65,37.75,8.97
223,Hasaki,75,JP,1571466142,88,35.73,140.83,69.8,4.7
224,Inta,76,RU,1571466142,65,66.04,60.13,24.07,16.46
225,Kalnciems,0,LV,1571466142,87,56.8,23.61,53.6,8.05
226,San Ramon,29,NI,1571466143,97,12.92,-85.84,65.18,2.24
227,Bilma,0,NE,1571466143,17,18.69,12.92,83.02,4.54
228,Damghan,0,IR,1571466143,27,36.17,54.34,60.47,4.47
229,Nome,1,US,1571466143,93,30.04,-94.42,68.0,3.65
230,Okhotsk,0,RU,1571466144,76,59.36,143.24,34.76,7.74
231,Constantine,0,DZ,1571466144,93,36.36,6.61,53.6,2.24
232,Thinadhoo,100,MV,1571466144,75,0.53,72.93,81.8,13.24
233,Sergeyevka,100,KZ,1571466144,94,53.88,67.42,28.43,16.24
234,Mehamn,95,NO,1571466145,72,71.03,27.85,31.06,9.73
235,Kachiry,100,KZ,1571466145,69,53.07,76.1,35.79,8.5
236,Severo-Yeniseyskiy,100,RU,1571466146,60,60.37,93.04,23.73,5.91
237,Levelland,1,US,1571466146,51,33.59,-102.38,64.0,11.41
238,Russell,20,US,1571466146,71,38.9,-98.86,55.4,23.04
239,Anchorage,90,US,1571466146,93,61.22,-149.89,39.99,1.61
240,Sokoni,0,CD,1571466147,43,-12.89,28.78,75.7,9.95
241,Krasnyy Chikoy,100,RU,1571466147,94,50.36,108.75,32.95,7.58
242,Srednekolymsk,21,RU,1571466147,93,67.46,153.71,6.16,4.09
243,Sao Miguel do Araguaia,56,BR,1571466148,69,-13.28,-50.16,77.28,4.18
244,Yeniseysk,92,RU,1571466148,53,58.45,92.17,32.44,1.63
245,Carsamba,75,TR,1571466148,93,41.2,36.72,64.4,4.99
246,Mahibadhoo,100,MV,1571466148,74,3.78,72.97,82.72,8.97
247,Klaksvik,100,FO,1571466149,80,62.23,-6.59,41.0,13.87
248,Ugoofaaru,100,MV,1571466149,70,5.67,73.0,83.06,3.36
249,Broome,0,GB,1571466149,93,52.47,1.45,52.0,4.7
250,Islampur,91,IN,1571466150,82,17.05,74.27,76.09,5.5
251,La Paz,96,MX,1571466150,75,24.15,-110.32,69.77,7.92
252,Suksun,0,RU,1571466150,67,57.15,57.4,27.33,13.38
253,Souillac,90,FR,1571466150,100,45.6,-0.6,55.4,3.36
254,Krishnanagar,46,IN,1571466151,52,23.41,88.5,88.35,6.87
255,Neftcala,0,AZ,1571466151,64,39.37,49.25,70.87,2.53
256,Komsomolskiy,100,RU,1571466151,73,67.55,63.78,18.22,15.05
257,Fairbanks,40,US,1571466151,74,64.84,-147.72,30.99,4.7
258,Beberibe,40,BR,1571466152,74,-4.18,-38.13,78.8,12.75
259,Kraljevo,0,RS,1571466152,100,43.72,20.69,44.6,1.12
260,Gorakhpur,98,IN,1571466152,55,26.76,83.37,83.94,4.47
261,Kloulklubed,75,PW,1571466152,66,7.04,134.26,87.8,9.17
262,Pombas,100,BR,1571466153,86,-15.9,-54.74,72.96,0.94
263,Khatanga,0,RU,1571466153,92,71.98,102.47,4.49,2.06
264,Mega,96,ET,1571466153,65,4.06,38.32,76.07,19.66
265,Mokrousovo,11,RU,1571466153,65,55.81,66.77,28.61,10.74
266,Portland,1,US,1571466154,86,43.66,-70.25,46.0,4.7
267,Hambantota,40,LK,1571466154,79,6.12,81.12,86.0,3.36
268,Beitbridge,0,ZA,1571466154,35,-22.21,29.99,78.23,12.3
269,Carupano,90,VE,1571466154,96,10.67,-63.26,71.7,3.83
270,Sioux Lookout,90,CA,1571466155,75,50.1,-91.92,51.8,11.41
271,Catia La Mar,75,VE,1571466155,88,10.6,-67.03,75.2,0.87
272,Saint-Philippe,20,CA,1571466155,66,45.36,-73.48,42.01,6.93
273,Sao Jose da Coroa Grande,79,BR,1571466155,93,-8.9,-35.15,72.11,3.49
274,Baykit,100,RU,1571466156,70,61.68,96.39,20.81,8.88
275,Marsabit,100,KE,1571466156,50,2.34,37.99,83.96,19.06
276,Vilyuysk,100,RU,1571466156,75,63.75,121.63,37.73,13.73
277,Saint-Pierre,0,FR,1571466157,93,48.95,4.24,55.4,14.99
278,Baruun-Urt,99,MN,1571466157,34,46.68,113.28,55.14,18.66
279,Mount Gambier,40,AU,1571466157,58,-37.83,140.78,53.6,19.46
280,Matamoros,1,US,1571466158,94,25.87,-97.51,78.01,3.36
281,Naryan-Mar,100,RU,1571466158,59,67.67,53.09,29.85,21.14
282,Luganville,40,VU,1571466158,74,-15.51,167.18,84.2,5.82
283,Goiatuba,79,BR,1571466159,47,-18.02,-49.36,77.64,2.62
284,Gao,13,ML,1571466159,27,16.28,-0.04,82.81,3.89
285,Chipinge,0,ZW,1571466159,33,-20.19,32.62,81.94,1.28
286,Iqaluit,90,CA,1571466159,68,63.75,-68.52,26.6,6.93
287,Morbegno,75,IT,1571466160,93,46.13,9.57,60.01,1.12
288,Etampes,75,FR,1571466160,93,48.43,2.15,55.4,8.05
289,Wageningen,75,NL,1571466160,93,51.98,5.66,53.01,10.29
290,Amahai,19,ID,1571466160,80,-3.31,129.0,81.73,10.04
291,Nueva Loja,91,EC,1571466161,98,0.08,-76.88,69.67,1.99
292,Itaituba,99,BR,1571466161,88,-4.26,-55.99,73.39,1.36
293,Camacha,75,PT,1571466161,94,33.08,-16.33,69.8,11.41
294,Uarini,55,BR,1571466161,88,-2.98,-65.16,74.29,0.83
295,Shenjiamen,46,CN,1571466162,70,29.96,122.3,68.15,16.71
296,Jacksonville,90,US,1571466162,94,30.33,-81.66,73.99,9.17
297,Bathsheba,40,BB,1571466162,78,13.22,-59.52,82.4,16.11
298,Troitskoye,100,RU,1571466162,93,52.98,84.68,34.31,6.33
299,Tabou,78,CI,1571466163,95,4.42,-7.36,74.54,4.52
300,Ambilobe,29,MG,1571466163,38,-13.19,49.05,88.6,11.88
301,Waingapu,0,ID,1571466163,36,-9.65,120.26,89.61,14.52
302,Intipuca,21,SV,1571466164,81,13.2,-88.05,82.19,10.83
303,Harper,1,US,1571466164,77,30.3,-99.24,69.01,8.05
304,Dongsheng,0,CN,1571466164,34,29.72,112.52,79.22,7.23
305,Codrington,0,AU,1571466164,54,-28.95,153.24,86.0,17.22
306,Golden,1,US,1571466165,31,39.76,-105.22,46.4,9.17
307,Arlit,91,NE,1571466165,16,18.74,7.39,89.75,10.63
308,Santiago,52,PH,1571466165,74,16.69,121.54,82.68,4.47
309,Shumskiy,95,RU,1571466166,59,54.83,99.13,38.92,2.57
310,Port Moresby,40,PG,1571466166,70,-9.47,147.16,84.2,11.41
311,Carmo do Paranaiba,9,BR,1571466166,50,-19.0,-46.32,62.01,5.23
312,Sibolga,94,ID,1571466166,81,1.74,98.78,81.01,12.35
313,Victoria,75,BN,1571466167,70,5.28,115.24,89.6,2.24
314,Half Moon Bay,20,US,1571466167,93,37.46,-122.43,57.2,10.07
315,Lagoa,75,PT,1571466167,82,37.14,-8.45,66.99,4.7
316,Wang Saphung,24,TH,1571466167,60,17.3,101.77,81.55,5.3
317,Campbellsville,1,US,1571466168,70,37.34,-85.34,48.2,5.82
318,Mathathane,0,BW,1571466168,27,-22.27,28.75,78.04,12.01
319,Yar-Sale,56,RU,1571466168,60,66.83,70.83,25.37,6.8
320,Dakar,40,SN,1571466168,94,14.69,-17.45,78.8,4.7
321,Akcakoca,0,TR,1571466169,84,41.09,31.12,60.86,0.78
322,Madaoua,17,NE,1571466169,64,14.07,5.96,81.13,8.39
323,Hudson Bay,89,CA,1571466169,91,52.86,-102.4,39.37,4.88
324,Sitka,27,US,1571466170,80,37.17,-99.65,53.01,13.0
325,Westport,1,US,1571466170,65,41.14,-73.36,46.99,4.7
326,Eureka,90,US,1571466170,76,40.8,-124.16,55.99,8.05
327,Rokupr,97,SL,1571466171,96,9.01,-12.95,75.66,3.44
328,Freeport,100,BS,1571466171,80,26.54,-78.7,81.08,14.14
329,Rome,22,IT,1571466171,100,41.89,12.48,57.99,2.24
330,George,0,MW,1571466172,64,-15.35,34.83,75.2,9.17
331,Ha Giang,100,VN,1571466172,82,22.83,104.99,65.98,2.86
332,Jacareacanga,100,BR,1571466172,99,-6.22,-57.76,71.74,2.01
333,Imeni Poliny Osipenko,100,RU,1571466172,60,52.42,136.49,46.55,2.98
334,Lorengau,73,PG,1571466172,74,-2.02,147.27,83.67,10.04
335,Collie,38,AU,1571466173,23,-33.36,116.15,81.0,7.2
336,Buala,98,SB,1571466173,79,-8.15,159.59,82.59,7.09
337,Abay,0,KZ,1571466173,52,49.63,72.87,44.6,13.42
338,Bud,0,NO,1571466174,86,62.91,6.91,44.6,9.17
339,Dunedin,56,NZ,1571466174,74,-45.87,170.5,55.99,1.99
340,Komsomolskoye,0,UA,1571466174,53,45.02,34.02,62.18,2.89
341,Wukari,100,NG,1571466174,93,7.87,9.78,73.77,2.53
342,Ayan,20,IR,1571466175,47,38.23,44.7,57.2,1.1
343,Valparaiso,1,US,1571466175,93,41.47,-87.06,46.99,8.77
344,Baglan,46,GB,1571466175,93,51.62,-3.81,51.01,4.7
345,Tura,100,RU,1571466175,87,64.27,100.22,13.61,10.11
346,Bedum,100,NL,1571466176,81,53.3,6.6,52.0,12.75
347,Zlynka,0,RU,1571466176,81,52.43,31.74,50.0,11.18
348,Vila Franca do Campo,75,PT,1571466176,67,37.72,-25.43,62.6,10.29
349,Nhulunbuy,40,AU,1571466176,58,-12.18,136.78,87.8,13.87
350,Pevek,100,RU,1571466177,90,69.7,170.27,29.29,20.2
351,Tiznit,48,MA,1571466178,88,29.7,-9.73,66.21,4.5
352,Chokurdakh,0,RU,1571466178,92,70.62,147.9,2.13,7.47
353,Bumba,100,CD,1571466178,98,2.18,22.47,72.01,1.63
354,Zheleznodorozhnyy,75,RU,1571466178,93,55.75,38.0,54.0,2.24
355,Bossier City,1,US,1571466179,76,32.52,-93.73,57.2,4.9
356,Saint-Georges,99,CA,1571466179,100,46.12,-70.67,42.01,8.99
357,Zhigansk,100,RU,1571466179,99,66.77,123.37,32.21,11.16
358,Kupang,97,ID,1571466179,75,-10.16,123.6,80.57,12.17
359,Hobyo,100,SO,1571466180,62,5.35,48.53,84.34,5.53
360,Vila,90,IT,1571466180,100,45.18,8.4,59.0,5.82
361,Port Augusta,0,AU,1571466180,51,-32.49,137.76,66.0,20.8
362,Zabol,75,IR,1571466180,21,31.03,61.49,71.6,9.17
363,Goundam,1,ML,1571466181,29,16.42,-3.66,87.54,8.14
364,Tamandare,51,BR,1571466181,94,-8.28,-70.75,71.16,2.51
365,Kautokeino,36,NO,1571466181,84,69.01,23.04,18.4,5.17
366,Pitimbu,40,BR,1571466182,88,-7.47,-34.81,75.2,5.82
367,Aksarka,19,RU,1571466182,73,66.56,67.8,21.21,11.52
368,Mariinsk,100,RU,1571466183,63,56.21,87.75,31.69,5.21
369,Yulara,88,AU,1571466183,11,-25.24,130.99,98.6,11.41
370,Ishigaki,75,JP,1571466183,78,24.34,124.16,78.8,17.22
371,Namatanai,95,PG,1571466183,78,-3.66,152.44,80.9,11.23
372,Aitape,77,PG,1571466184,67,-3.15,142.36,84.55,9.17
373,Volodarskiy,90,RU,1571466184,93,46.4,48.54,51.8,2.24
374,Mama,75,MX,1571466184,94,20.48,-89.36,77.0,3.36
